date,plantnum,trt,rep,varname,variety,plot_name,mk_kg,mk_num,un_kg,un_num
7/14/2023,8,con,1,Estiva,1,con101,1.5,6,1.85,8
7/14/2023,8,con,1,Tomimaru Muchoo,2,con102,1.5,7,1.85,9
7/14/2023,8,con,2,Estiva,1,con201,1.1,5,0.9,4
7/14/2023,8,con,2,Tomimaru Muchoo,2,con202,0.7,4,2.3,12
7/14/2023,8,con,3,Estiva,1,con301,0.85,4,0.2,1
7/14/2023,8,con,3,Tomimaru Muchoo,2,con302,1.05,6,1.75,8
7/14/2023,8,con,4,Estiva,1,con401,0.85,4,0.7,5
7/14/2023,8,con,4,Tomimaru Muchoo,2,con402,0.45,2,0.55,2
7/14/2023,8,ht,1,Estiva,1,ht101,2.7,12,0.45,5
7/14/2023,7,ht,1,Tomimaru Muchoo,2,ht102,4.3,20,0.4,2
7/14/2023,8,ht,2,Estiva,1,ht201,3.1,16,0,0
7/14/2023,8,ht,2,Tomimaru Muchoo,2,ht202,2.7,15,0.5,2
7/14/2023,8,ht,3,Estiva,1,ht301,4.1,22,0.2,2
7/14/2023,8,ht,3,Tomimaru Muchoo,2,ht302,7.4,36,0.05,1
7/14/2023,7,ht,4,Estiva,1,ht401,3.85,21,0.3,3
7/14/2023,8,ht,4,Tomimaru Muchoo,2,ht402,3.5,18,1.85,8
7/14/2023,8,org,1,Estiva,1,org101,1.9,8,1.05,5
7/14/2023,8,org,1,Tomimaru Muchoo,2,org102,1.8,10,3.45,21
7/14/2023,8,org,2,Estiva,1,org201,0.85,4,1.8,11
7/14/2023,8,org,2,Tomimaru Muchoo,2,org202,2.4,13,1.35,8
7/14/2023,8,org,3,Estiva,1,org301,0.6,3,2.95,14
7/14/2023,8,org,3,Tomimaru Muchoo,2,org302,0.85,5,1.75,11
7/14/2023,8,org,4,Estiva,1,org401,0,0,1.3,9
7/14/2023,10,org,4,Tomimaru Muchoo,2,org402,0.7,3,3.3,19
7/21/2023,,con,1,Estiva,1,con101,5.95,29,0.6,4
7/21/2023,,con,1,Tomimaru Muchoo,2,con102,5.45,20,3.6,11
7/21/2023,,con,2,Estiva,1,con201,3.75,15,1.45,6
7/21/2023,,con,2,Tomimaru Muchoo,2,con202,5.45,24,4.2,14
7/21/2023,,con,3,Estiva,1,con301,3.7,14,0.5,2
7/21/2023,,con,3,Tomimaru Muchoo,2,con302,3.3,14,2.1,10
7/21/2023,,con,4,Estiva,1,con401,3.3,13,1.7,6
7/21/2023,,con,4,Tomimaru Muchoo,2,con402,4.1,15,0.45,3
7/21/2023,,ht,1,Estiva,1,ht101,5.1,24,3.35,20
7/21/2023,,ht,1,Tomimaru Muchoo,2,ht102,7.8,35,0.4,2
7/21/2023,,ht,2,Estiva,1,ht201,13.1,72,0.7,7
7/21/2023,,ht,2,Tomimaru Muchoo,2,ht202,9.9,51,0.35,2
7/21/2023,,ht,3,Estiva,1,ht301,6.4,29,0.7,6
