location,plot,lem,rep,brix
hort,r1t7,0,1,9.4
hort,r2t1,0,2,10
hort,r3t5,0,3,9.4
hort,r4t9,0,4,9.3
hort,r1t4,1.8,1,6.8
hort,r2t9,1.8,2,7.2
hort,r3t2,1.8,3,8.2
hort,r4t3,1.8,4,8.3
hort,r1t8,3.6,1,8
hort,r2t7,3.6,2,8.7
hort,r3t9,3.6,3,8.7
hort,r4t6,3.6,4,8.5
bcbf,r1t7,0,1,5.5
bcbf,r2t1,0,2,5.2
bcbf,r3t5,0,3,8.7
bcbf,r4t9,0,4,8.9
bcbf,r1t4,1.8,1,8.2
bcbf,r2t9,1.8,2,9.2
bcbf,r3t2,1.8,3,10
bcbf,r4t3,1.8,4,9
bcbf,r1t8,3.6,1,8.3
bcbf,r2t7,3.6,2,9.7
bcbf,r3t9,3.6,3,10.4
bcbf,r4t6,3.6,4,10.1
paul,r1t7,0,1,7.9
paul,r2t1,0,2,7.7
paul,r3t5,0,3,8.2
paul,r4t9,0,4,8.1
paul,r1t4,1.8,1,6.9
paul,r2t9,1.8,2,7.5
paul,r3t2,1.8,3,7.5
paul,r4t3,1.8,4,8.1
paul,r1t8,3.6,1,7.7
paul,r2t7,3.6,2,7.8
paul,r3t9,3.6,3,8.7
paul,r4t6,3.6,4,8.7
