plot,location,rep,lemlm2,subsample,brix
r1t5,hort,1,1.8,1,5.5
r1t5,hort,1,1.8,2,7.2
r1t5,hort,1,1.8,3,7.6
r1t5,hort,1,1.8,4,6.3
r1t5,hort,1,1.8,5,7.7
r2t3,hort,2,1.8,1,7.5
r2t3,hort,2,1.8,2,7.2
r2t3,hort,2,1.8,3,7.5
r2t3,hort,2,1.8,4,7.4
r2t3,hort,2,1.8,5,6.5
r3t4,hort,3,1.8,1,7.4
r3t4,hort,3,1.8,2,7.6
r3t4,hort,3,1.8,3,7.2
r3t4,hort,3,1.8,4,7.6
r3t4,hort,3,1.8,5,8.4
r4t7,hort,4,1.8,1,9
r4t7,hort,4,1.8,2,8.5
r4t7,hort,4,1.8,3,9.6
r4t7,hort,4,1.8,4,8.8
r4t7,hort,4,1.8,5,8.5
r1t2,hort,1,3.6,1,5.1
r1t2,hort,1,3.6,2,6.7
r1t2,hort,1,3.6,3,8.2
r1t2,hort,1,3.6,4,6.5
r1t2,hort,1,3.6,5,6.7
r2t5,hort,2,3.6,1,7.5
r2t5,hort,2,3.6,2,8
r2t5,hort,2,3.6,3,8
r2t5,hort,2,3.6,4,7.2
r2t5,hort,2,3.6,5,8.1
r3t1,hort,3,3.6,1,5.8
r3t1,hort,3,3.6,2,7.3
r3t1,hort,3,3.6,3,6.5
r3t1,hort,3,3.6,4,7.7
r3t1,hort,3,3.6,5,7.4
r4t4,hort,4,3.6,1,6.1
r4t4,hort,4,3.6,2,8.8
r4t4,hort,4,3.6,3,10
r4t4,hort,4,3.6,4,8.5
r4t4,hort,4,3.6,5,3.7
r1t9,bcbf,1,0,1,10.2
r1t9,bcbf,1,0,2,2.9
r1t9,bcbf,1,0,3,10.8
r1t9,bcbf,1,0,4,4.1
r1t9,bcbf,1,0,5,1.3
r2t8,bcbf,2,0,1,6.6
r2t8,bcbf,2,0,2,6.2
r2t8,bcbf,2,0,3,7.2
r2t8,bcbf,2,0,4,5.4
r2t8,bcbf,2,0,5,7.5
r3t7,bcbf,3,0,1,5.5
r3t7,bcbf,3,0,2,5.8
r3t7,bcbf,3,0,3,7.2
r3t7,bcbf,3,0,4,6.4
r3t7,bcbf,3,0,5,7.3
r4t2,bcbf,4,0,1,5.3
r4t2,bcbf,4,0,2,6.3
r4t2,bcbf,4,0,3,4.7
r4t2,bcbf,4,0,4,5.7
r4t2,bcbf,4,0,5,6.5
r1t5,bcbf,1,1.8,1,3.6
r1t5,bcbf,1,1.8,2,4.6
r1t5,bcbf,1,1.8,3,6.4
r1t5,bcbf,1,1.8,4,6
r1t5,bcbf,1,1.8,5,5.6
r2t3,bcbf,2,1.8,1,4.4
r2t3,bcbf,2,1.8,2,7.3
r2t3,bcbf,2,1.8,3,6.6
r2t3,bcbf,2,1.8,4,7.4
r2t3,bcbf,2,1.8,5,5.1
r3t4,bcbf,3,1.8,1,3.8
r3t4,bcbf,3,1.8,2,5.3
r3t4,bcbf,3,1.8,3,7.4
r3t4,bcbf,3,1.8,4,7.5
r3t4,bcbf,3,1.8,5,6.2
r4t7,bcbf,4,1.8,1,3.8
r4t7,bcbf,4,1.8,2,6.7
r4t7,bcbf,4,1.8,3,6.9
r4t7,bcbf,4,1.8,4,5.6
r4t7,bcbf,4,1.8,5,7.4
r1t2,bcbf,1,3.6,1,4.6
r1t2,bcbf,1,3.6,2,5.2
r1t2,bcbf,1,3.6,3,5.2
r1t2,bcbf,1,3.6,4,7
r1t2,bcbf,1,3.6,5,5.8
r2t5,bcbf,2,3.6,1,4.4
r2t5,bcbf,2,3.6,2,7.3
r2t5,bcbf,2,3.6,3,4.4
r2t5,bcbf,2,3.6,4,6.2
r2t5,bcbf,2,3.6,5,5.5
r3t1,bcbf,3,3.6,1,5
r3t1,bcbf,3,3.6,2,5.4
r3t1,bcbf,3,3.6,3,5
