date,plantnum,trt,rep,varname,variety,plot_name,mk_kg,mk_num,un_kg,un_num,,,,,
7/08/2024,8,Con,1,Estiva,1,Con101,0.85,6,1.15,9,,,,,
7/08/2024,8,Con,1,Tomimaru Muchoo,2,Con102,6.4,28,2.1,20,,,,,
7/08/2024,8,Con,2,Estiva,1,Con201,2.25,12,1.7,18,,,,,
7/08/2024,8,Con,2,Tomimaru Muchoo,2,Con202,3.2,11,3.3,21,,,,,
7/08/2024,8,Con,3,Estiva,1,Con301,1.45,7,0.35,5,,,,,
7/08/2024,8,Con,3,Tomimaru Muchoo,2,Con302,5.2,25,0.4,5,,,,,
7/08/2024,8,Con,4,Estiva,1,Con401,2.65,14,3.5,34,,,,,
7/08/2024,8,Con,4,Tomimaru Muchoo,2,Con402,4.5,19,2.5,23,,,,,
7/08/2024,8,Org,1,Estiva,1,Org101,0.7,3,5.95,76,,,,,
7/08/2024,8,Org,1,Tomimaru Muchoo,2,Org102,1.95,7,4.9,60,,,,,
7/08/2024,8,Org,2,Estiva,1,Org201,1,4,4.55,76,,,,,
7/08/2024,8,Org,2,Tomimaru Muchoo,2,Org202,2.9,14,8.75,175,,,,,
7/08/2024,8,Org,3,Estiva,1,Org301,0.25,1,7,92,,,,,
7/08/2024,8,Org,3,Tomimaru Muchoo,2,Org302,5.25,21,5.35,77,,,,,
7/08/2024,8,Org,4,Estiva,1,Org401,1.25,6,86,4.1,,,,,
7/08/2024,8,Org,4,Tomimaru Muchoo,2,Org402,4.05,19,103,5.65,,,,,
7/08/2024,8,Ht,1,Estiva,1,Ht101,2.9,17,5.35,63,,,,,
7/08/2024,8,Ht,1,Tomimaru Muchoo,2,Ht102,6.55,31,3.4,37,,,,,
7/08/2024,7,Ht,2,Estiva,1,Ht201,4.55,25,5.2,75,,,,,
7/08/2024,8,Ht,2,Tomimaru Muchoo,2,Ht202,8.6,39,3.55,47,,,,,
7/08/2024,8,Ht,3,Estiva,1,Ht301,2.9,19,8.42,113,,,,,
7/08/2024,8,Ht,3,Tomimaru Muchoo,2,Ht302,7.35,32,3.2,24,,,,,
7/08/2024,7,Ht,4,Estiva,1,Ht401,0.9,4,5.5,85,,,,,
7/08/2024,8,Ht,4,Tomimaru Muchoo,2,Ht402,9.15,52,1.85,12,,,,,
7/15/2024,8,Con,1,Estiva,1,Con101,5.05,22,2.55,13,,,,,
7/15/2024,8,Con,1,Tomimaru Muchoo,2,Con102,8.95,34,5.15,28,,,,,
7/15/2024,8,Con,2,Estiva,1,Con201,4.55,22,1.95,12,,,,,
7/15/2024,8,Con,2,Tomimaru Muchoo,2,Con202,7.35,28,2,14,,,,,
7/15/2024,8,Con,3,Estiva,1,Con301,2.75,11,1.45,7,,,,,
7/15/2024,8,Con,3,Tomimaru Muchoo,2,Con302,11.9,53,0.5,2,,,,,
7/15/2024,8,Con,4,Estiva,1,Con401,4.45,20,1.95,12,,,,,
7/15/2024,8,Con,4,Tomimaru Muchoo,2,Con402,7.15,27,3.35,20,,,,,
7/15/2024,8,Org,1,Estiva,1,Org101,0,0,3.8,105,,,,,
7/15/2024,7,Org,1,Tomimaru Muchoo,2,Org102,1.45,8,3.45,32,,,,,
