trtname,rep,location,rate,lem,day,date,tinmgl,gwc,wetsoilg,drysoilg,tinmgkg
Hort0Yes,1,hort,0,yes,0,11/5/2024,2.8917,0.226685796,5,4.076023392,2.837765854
Hort0Yes,2,hort,0,yes,0,11/5/2024,3.7485,0.21602289,5,4.111764706,3.646609442
Hort0Yes,3,hort,0,yes,0,11/5/2024,3.1608,0.215827338,5,4.112426036,3.07438964
Hort0Yes,4,hort,0,yes,0,11/5/2024,3.7278,0.209359606,5,4.134419552,3.606600591
Hort0No,1,hort,0,no,0,11/5/2024,2.8917,0.20030349,5,4.165613148,2.776734082
Hort0No,2,hort,0,no,0,11/5/2024,3.7485,0.191827469,5,4.195238095,3.574052213
Hort0No,3,hort,0,no,0,11/5/2024,3.1608,0.190184049,5,4.201030928,3.009546994
Hort0No,4,hort,0,no,0,11/5/2024,3.7278,0.191240876,5,4.197303922,3.55256619
Hort1.8Yes,1,hort,1.8,yes,0,11/5/2024,3.4619,0.178205128,5,4.243743199,3.263062667
Hort1.8Yes,2,hort,1.8,yes,0,11/5/2024,3.3013,0.178025035,5,4.244391972,3.111211238
Hort1.8Yes,3,hort,1.8,yes,0,11/5/2024,3.186,0.179562044,5,4.238861386,3.006467737
Hort1.8Yes,4,hort,1.8,yes,0,11/5/2024,3.0626,0.179086538,5,4.240570846,2.888856346
Hort1.8No,1,hort,1.8,no,0,11/5/2024,3.4619,0.162573099,5,4.300804829,3.21976945
Hort1.8No,2,hort,1.8,no,0,11/5/2024,3.3013,0.164591978,5,4.293349169,3.075733997
Hort1.8No,3,hort,1.8,no,0,11/5/2024,3.186,0.159836066,5,4.310954064,2.956190164
Hort1.8No,4,hort,1.8,no,0,11/5/2024,3.0626,0.159281437,5,4.313016529,2.840332263
Hort3.6Yes,1,hort,3.6,yes,0,11/5/2024,3.6887,0.224215247,5,4.084249084,3.612610224
Hort3.6Yes,2,hort,3.6,yes,0,11/5/2024,3.5895,0.226939971,5,4.075178998,3.52328082
Hort3.6Yes,3,hort,3.6,yes,0,11/5/2024,4.2024,0.216438356,5,4.11036036,4.089568438
Hort3.6Yes,4,hort,3.6,yes,0,11/5/2024,4.6442,0.22324967,5,4.087473002,4.544812893
Hort3.6No,1,hort,3.6,no,0,11/5/2024,3.6887,0.210306407,5,4.13118527,3.571565794
Hort3.6No,2,hort,3.6,no,0,11/5/2024,3.5895,0.205405405,5,4.147982063,3.461442162
Hort3.6No,3,hort,3.6,no,0,11/5/2024,4.2024,0.212464589,5,4.123831776,4.076208952
Hort3.6No,4,hort,3.6,no,0,11/5/2024,4.6442,0.212827988,5,4.122596154,4.506092595
BCBF0Yes,1,bcbf,0,yes,0,11/5/2024,4.8299,0.265745008,5,3.950242718,4.89073745
BCBF0Yes,2,bcbf,0,yes,0,11/5/2024,4.9316,0.266752577,5,3.947100712,4.997693608
BCBF0Yes,3,bcbf,0,yes,0,11/5/2024,4.4213,0.266666667,5,3.947368421,4.480250667
BCBF0Yes,4,bcbf,0,yes,0,11/5/2024,4.8883,0.261976048,5,3.962040332,4.935134012
BCBF0No,1,bcbf,0,no,0,11/5/2024,4.8299,0.251170047,5,3.996259352,4.834420967
BCBF0No,2,bcbf,0,no,0,11/5/2024,4.9316,0.251114413,5,3.996437055,4.935996672
BCBF0No,3,bcbf,0,no,0,11/5/2024,4.4213,0.251819505,5,3.994186047,4.427735662
BCBF0No,4,bcbf,0,no,0,11/5/2024,4.8883,0.250384025,5,3.998771499,4.889801782
BCBF1.8Yes,1,bcbf,1.8,yes,0,11/5/2024,4.9,0.28330781,5,3.896181384,5.030566616
BCBF1.8Yes,2,bcbf,1.8,yes,0,11/5/2024,4.7625,0.288492707,5,3.880503145,4.909157212
BCBF1.8Yes,3,bcbf,1.8,yes,0,11/5/2024,4.323,0.296783626,5,3.855693348,4.484796491
BCBF1.8Yes,4,bcbf,1.8,yes,0,11/5/2024,4.6539,0.289514867,5,3.877427184,4.801018592
BCBF1.8No,1,bcbf,1.8,no,0,11/5/2024,4.9,0.272590361,5,3.928994083,4.988554217
BCBF1.8No,2,bcbf,1.8,no,0,11/5/2024,4.7625,0.269647696,5,3.93810032,4.837357724
BCBF1.8No,3,bcbf,1.8,no,0,11/5/2024,4.323,0.278283485,5,3.911495422,4.420815605
BCBF1.8No,4,bcbf,1.8,no,0,11/5/2024,4.6539,0.2760181,5,3.918439716,4.750768507
BCBF3.6Yes,1,bcbf,3.6,yes,0,11/5/2024,4.017,0.286111111,5,3.887688985,4.133046667
BCBF3.6Yes,2,bcbf,3.6,yes,0,11/5/2024,4.7204,0.288956127,5,3.879107981,4.867510802
